"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US06","California","39356104","*****",
"1400000US06001407300","Census Tract 4073; Alameda County; California","2459","430",
"1400000US06001407400","Census Tract 4074; Alameda County; California","4242","669",
"1400000US06001407500","Census Tract 4075; Alameda County; California","3988","662",
"1400000US06001407600","Census Tract 4076; Alameda County; California","6459","849",
"1400000US06001407700","Census Tract 4077; Alameda County; California","4238","419",
"1400000US06001407800","Census Tract 4078; Alameda County; California","2769","334",
"1400000US06001407900","Census Tract 4079; Alameda County; California","3088","376",
"1400000US06001408000","Census Tract 4080; Alameda County; California","2860","395",
"1400000US06001408100","Census Tract 4081; Alameda County; California","7313","718",
"1400000US06001408200","Census Tract 4082; Alameda County; California","4471","684",
"1400000US06001408300","Census Tract 4083; Alameda County; California","4791","599",
"1400000US06001408400","Census Tract 4084; Alameda County; California","4077","613",
"1400000US06001408500","Census Tract 4085; Alameda County; California","5634","1069",
"1400000US06001408600","Census Tract 4086; Alameda County; California","6519","950",
"1400000US06001408700","Census Tract 4087; Alameda County; California","7456","1271",
"1400000US06001408800","Census Tract 4088; Alameda County; California","7968","1019",
"1400000US06001408900","Census Tract 4089; Alameda County; California","3956","536",
"1400000US06001409000","Census Tract 4090; Alameda County; California","5039","1118",
"1400000US06001409100","Census Tract 4091; Alameda County; California","2532","369",
"1400000US06001409200","Census Tract 4092; Alameda County; California","3615","486",
"1400000US06001409300","Census Tract 4093; Alameda County; California","5743","681",
"1400000US06001409400","Census Tract 4094; Alameda County; California","4710","892",
"1400000US06001409500","Census Tract 4095; Alameda County; California","4291","648",
"1400000US06001409600","Census Tract 4096; Alameda County; California","5139","663",
"1400000US06001409700","Census Tract 4097; Alameda County; California","5240","1012",
"1400000US06001409800","Census Tract 4098; Alameda County; California","3511","594",
"1400000US06001409900","Census Tract 4099; Alameda County; California","3983","563",
"1400000US06001410000","Census Tract 4100; Alameda County; California","3177","536",
"1400000US06001410100","Census Tract 4101; Alameda County; California","3172","401",
"1400000US06001410200","Census Tract 4102; Alameda County; California","3238","501",
"1400000US06001410300","Census Tract 4103; Alameda County; California","3893","418",
"1400000US06001410400","Census Tract 4104; Alameda County; California","4687","823",
"1400000US06001410500","Census Tract 4105; Alameda County; California","3081","417",
"1400000US06001420100","Census Tract 4201; Alameda County; California","2631","296",
"1400000US06001420200","Census Tract 4202; Alameda County; California","3275","408",
"1400000US06001420301","Census Tract 4203.01; Alameda County; California","2645","351",
"1400000US06001420302","Census Tract 4203.02; Alameda County; California","2446","338",
"1400000US06001420401","Census Tract 4204.01; Alameda County; California","1333","213",
"1400000US06001420402","Census Tract 4204.02; Alameda County; California","1661","244",
"1400000US06001420500","Census Tract 4205; Alameda County; California","2548","254",
"1400000US06001420600","Census Tract 4206; Alameda County; California","3488","343",
"1400000US06001421100","Census Tract 4211; Alameda County; California","2108","230",
"1400000US06001421200","Census Tract 4212; Alameda County; California","3557","542",
"1400000US06001421300","Census Tract 4213; Alameda County; California","4011","406",
"1400000US06001421400","Census Tract 4214; Alameda County; California","1638","268",
"1400000US06001421500","Census Tract 4215; Alameda County; California","4064","530",
"1400000US06001421600","Census Tract 4216; Alameda County; California","3854","570",
"1400000US06001421700","Census Tract 4217; Alameda County; California","3421","446",
"1400000US06001421800","Census Tract 4218; Alameda County; California","2260","266",
"1400000US06001421900","Census Tract 4219; Alameda County; California","4141","550",
"1400000US06001422000","Census Tract 4220; Alameda County; California","2453","264",
"1400000US06001422100","Census Tract 4221; Alameda County; California","3200","359",
"1400000US06001422200","Census Tract 4222; Alameda County; California","3280","612",
"1400000US06001422300","Census Tract 4223; Alameda County; California","3567","477",
"1400000US06001422400","Census Tract 4224; Alameda County; California","4187","757",
"1400000US06001422500","Census Tract 4225; Alameda County; California","4467","572",
"1400000US06001422700","Census Tract 4227; Alameda County; California","4803","496",
"1400000US06001422800","Census Tract 4228; Alameda County; California","8980","545",
"1400000US06001422901","Census Tract 4229.01; Alameda County; California","2024","627",
"1400000US06001422902","Census Tract 4229.02; Alameda County; California","3022","642",
"1400000US06001423000","Census Tract 4230; Alameda County; California","4549","851",
"1400000US06001423100","Census Tract 4231; Alameda County; California","4275","616",
"1400000US06001423200","Census Tract 4232; Alameda County; California","3003","520",
"1400000US06001423300","Census Tract 4233; Alameda County; California","3476","588",
"1400000US06001423400","Census Tract 4234; Alameda County; California","5551","779",
"1400000US06001423500","Census Tract 4235; Alameda County; California","3540","464",
"1400000US06001423601","Census Tract 4236.01; Alameda County; California","2738","457",
"1400000US06001423602","Census Tract 4236.02; Alameda County; California","7198","1437",
"1400000US06001423700","Census Tract 4237; Alameda County; California","3606","591",
"1400000US06001423800","Census Tract 4238; Alameda County; California","3425","337",
"1400000US06001423901","Census Tract 4239.01; Alameda County; California","2258","319",
"1400000US06001423902","Census Tract 4239.02; Alameda County; California","1512","198",
"1400000US06001424001","Census Tract 4240.01; Alameda County; California","3631","503",
"1400000US06001424002","Census Tract 4240.02; Alameda County; California","2663","323",
"1400000US06001425101","Census Tract 4251.01; Alameda County; California","1754","225",
"1400000US06001425102","Census Tract 4251.02; Alameda County; California","3969","344",
"1400000US06001425103","Census Tract 4251.03; Alameda County; California","3103","340",
"1400000US06001425104","Census Tract 4251.04; Alameda County; California","4014","511",
"1400000US06001426100","Census Tract 4261; Alameda County; California","6300","506",
"1400000US06001426200","Census Tract 4262; Alameda County; California","4861","504",
"1400000US06001427100","Census Tract 4271; Alameda County; California","4222","442",
"1400000US06001427200","Census Tract 4272; Alameda County; California","4508","617",
"1400000US06001427300","Census Tract 4273; Alameda County; California","5283","882",
"1400000US06001427600","Census Tract 4276; Alameda County; California","4740","524",
"1400000US06001427700","Census Tract 4277; Alameda County; California","5009","796",
"1400000US06001427800","Census Tract 4278; Alameda County; California","4274","458",
"1400000US06001427900","Census Tract 4279; Alameda County; California","4686","689",
"1400000US06001428000","Census Tract 4280; Alameda County; California","2906","544",
"1400000US06001428100","Census Tract 4281; Alameda County; California","4866","701",
"1400000US06001428200","Census Tract 4282; Alameda County; California","6475","608",
"1400000US06001428301","Census Tract 4283.01; Alameda County; California","7203","898",
"1400000US06001428302","Census Tract 4283.02; Alameda County; California","7022","767",
"1400000US06001428400","Census Tract 4284; Alameda County; California","4756","619",
"1400000US06001428500","Census Tract 4285; Alameda County; California","3302","393",
"1400000US06001428600","Census Tract 4286; Alameda County; California","3235","443",
"1400000US06001428700","Census Tract 4287; Alameda County; California","5078","522",
"1400000US06001430101","Census Tract 4301.01; Alameda County; California","7034","851",
"1400000US06001430102","Census Tract 4301.02; Alameda County; California","2459","224",
"1400000US06001430200","Census Tract 4302; Alameda County; California","7713","712",
"1400000US06001430300","Census Tract 4303; Alameda County; California","4290","625",
"1400000US06001430400","Census Tract 4304; Alameda County; California","2155","248",
"1400000US06001430500","Census Tract 4305; Alameda County; California","6250","1034",
"1400000US06001430600","Census Tract 4306; Alameda County; California","6244","965",
"1400000US06001430700","Census Tract 4307; Alameda County; California","4085","406",
"1400000US06001430800","Census Tract 4308; Alameda County; California","5814","739",
"1400000US06001430900","Census Tract 4309; Alameda County; California","5214","713",
"1400000US06001431000","Census Tract 4310; Alameda County; California","3091","481",
"1400000US06001431100","Census Tract 4311; Alameda County; California","3259","509",
"1400000US06001431200","Census Tract 4312; Alameda County; California","5865","521",
"1400000US06001432100","Census Tract 4321; Alameda County; California","3892","550",
"1400000US06001432200","Census Tract 4322; Alameda County; California","3987","615",
"1400000US06001432300","Census Tract 4323; Alameda County; California","4874","457",
"1400000US06001432400","Census Tract 4324; Alameda County; California","6346","929",
"1400000US06001432501","Census Tract 4325.01; Alameda County; California","4892","663",
"1400000US06001432502","Census Tract 4325.02; Alameda County; California","5126","801",
"1400000US06001432601","Census Tract 4326.01; Alameda County; California","4092","780",
"1400000US06001432602","Census Tract 4326.02; Alameda County; California","3123","445",
"1400000US06001432700","Census Tract 4327; Alameda County; California","2755","563",
"1400000US06001432800","Census Tract 4328; Alameda County; California","3862","579",
"1400000US06001433000","Census Tract 4330; Alameda County; California","3799","460",
"1400000US06001433102","Census Tract 4331.02; Alameda County; California","4445","806",
"1400000US06001433103","Census Tract 4331.03; Alameda County; California","3552","610",
"1400000US06001433104","Census Tract 4331.04; Alameda County; California","4398","590",
